,brand,year,spec_title,spec_url,fuel_type,transmission
25323,Volvo,2002,2002 Volvo S40 1.8 Bi-Fuel Europa specs,https://www.cars-data.com/en/volvo-s40-1-8-bi-fuel-europa-specs/55180/tech,Lpg,Manual
25324,Volvo,2002,2002 Volvo S40 1.8 Bi-Fuel Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-1-8-bi-fuel-europa-elegance-specs/55181/tech,Lpg,Manual
25325,Volvo,2002,2002 Volvo S40 1.8 Bi-Fuel Europa Sports specs,https://www.cars-data.com/en/volvo-s40-1-8-bi-fuel-europa-sports-specs/55182/tech,Lpg,Manual
25326,Volvo,2002,2002 Volvo S40 1.8i specs,https://www.cars-data.com/en/volvo-s40-1-8i-specs/55184/tech,Petrol,Manual
25327,Volvo,2002,2002 Volvo S40 1.8i Europa specs,https://www.cars-data.com/en/volvo-s40-1-8i-europa-specs/55185/tech,Petrol,Manual
25328,Volvo,2002,2002 Volvo S40 1.8i Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-1-8i-europa-elegance-specs/55186/tech,Petrol,Manual
25329,Volvo,2002,2002 Volvo S40 1.8i Europa Sports specs,https://www.cars-data.com/en/volvo-s40-1-8i-europa-sports-specs/55187/tech,Petrol,Manual
25330,Volvo,2002,2002 Volvo S40 2.0 specs,https://www.cars-data.com/en/volvo-s40-2-0-specs/55188/tech,Petrol,Manual
25331,Volvo,2002,2002 Volvo S40 2.0 specs,https://www.cars-data.com/en/volvo-s40-2-0-specs/55189/tech,Petrol,Automatic
25332,Volvo,2002,2002 Volvo S40 2.0 Europa specs,https://www.cars-data.com/en/volvo-s40-2-0-europa-specs/55190/tech,Petrol,Manual
25333,Volvo,2002,2002 Volvo S40 2.0 Europa specs,https://www.cars-data.com/en/volvo-s40-2-0-europa-specs/55191/tech,Petrol,Automatic
25334,Volvo,2002,2002 Volvo S40 2.0 Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-2-0-europa-elegance-specs/55192/tech,Petrol,Manual
25335,Volvo,2002,2002 Volvo S40 2.0 Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-2-0-europa-elegance-specs/55193/tech,Petrol,Automatic
25336,Volvo,2002,2002 Volvo S40 2.0 Europa Sports specs,https://www.cars-data.com/en/volvo-s40-2-0-europa-sports-specs/55194/tech,Petrol,Manual
25337,Volvo,2002,2002 Volvo S40 2.0 Europa Sports specs,https://www.cars-data.com/en/volvo-s40-2-0-europa-sports-specs/55195/tech,Petrol,Automatic
25338,Volvo,2002,2002 Volvo S40 2.0 T specs,https://www.cars-data.com/en/volvo-s40-2-0-t-specs/55202/tech,Petrol,Manual
25339,Volvo,2002,2002 Volvo S40 2.0 T specs,https://www.cars-data.com/en/volvo-s40-2-0-t-specs/55203/tech,Petrol,Automatic
25340,Volvo,2002,2002 Volvo S40 T4 specs,https://www.cars-data.com/en/volvo-s40-t4-specs/55212/tech,Petrol,Manual
25341,Volvo,2002,2002 Volvo S40 T4 specs,https://www.cars-data.com/en/volvo-s40-t4-specs/55213/tech,Petrol,Automatic
25342,Volvo,2002,2002 Volvo S40 1.9 D 102hp specs,https://www.cars-data.com/en/volvo-s40-1-9-d-102hp-specs/55214/tech,Diesel,Manual
25343,Volvo,2002,2002 Volvo S40 1.9 D 102hp Europa specs,https://www.cars-data.com/en/volvo-s40-1-9-d-102hp-europa-specs/55216/tech,Diesel,Manual
